Sex,Site,State,Year,Rate
Both,All Sites,California,2009,141.5
Both,All Sites,Colorado,2009,150.5
Both,All Sites,Connecticut,2009,178
Both,All Sites,District of Columbia,2009,169.3
Both,All Sites,Delaware,2009,172.1
Both,All Sites,Florida,2009,166.2
Both,All Sites,Georgia,2009,161
Both,All Sites,Hawaii,2009,173.2
Both,All Sites,Idaho,2009,151.6
Both,All Sites,Illinois,2009,162.9
Both,All Sites,Indiana,2009,164.6
Both,All Sites,Iowa,2009,171.8
Both,All Sites,Kansas,2009,166.2
Both,All Sites,Kentucky,2009,180.9
Both,All Sites,Louisiana,2009,165.3
Both,All Sites,Massachusetts,2009,177.4
Both,All Sites,Maryland,2009,159.9
Both,All Sites,Maine,2009,172.4
Both,All Sites,Michigan,2009,171.2
Both,All Sites,Minnesota,2009,165.7
Both,All Sites,Missouri,2009,165.7
Both,All Sites,Mississippi,2009,172.6
Both,All Sites,Montana,2009,158
Both,All Sites,North Carolina,2009,176.4
Both,All Sites,North Dakota,2009,163.9
Both,All Sites,Nebraska,2009,163.3
Both,All Sites,New Hampshire,2009,174.7
Both,All Sites,New Jersey,2009,177.4
Both,All Sites,New Mexico,2009,153.3
Both,All Sites,Nevada,2009,140.9
Both,All Sites,New York,2009,178.7
Both,All Sites,Ohio,2009,170
Both,All Sites,Oklahoma,2009,150
Both,All Sites,Oregon,2009,150.5
Both,All Sites,Pennsylvania,2009,183.9
Both,All Sites,Rhode Island,2009,190.3
Both,All Sites,South Carolina,2009,167.1
Both,All Sites,South Dakota,2009,157.8
Both,All Sites,Tennessee,2009,177.2
Both,All Sites,Texas,2009,150.2
Both,All Sites,Utah,2009,154.2
Both,All Sites,Virginia,2009,153.8
Both,All Sites,Vermont,2009,172.3
Both,All Sites,Washington,2009,164.4
Both,All Sites,Wisconsin,2009,164.6
Both,All Sites,West Virginia,2009,184
Both,All Sites,Wyoming,2009,139.1
Both,All Sites,Alaska,2010,163
Both,All Sites,Alabama,2010,160.4
Both,All Sites,Arkansas,2010,148.3
Both,All Sites,Arizona,2010,146
Both,All Sites,California,2010,139
Both,All Sites,Colorado,2010,146.3
Both,All Sites,Connecticut,2010,179.2
Both,All Sites,District of Columbia,2010,185.7
Both,All Sites,Delaware,2010,186
Both,All Sites,Florida,2010,162.2
Both,All Sites,Georgia,2010,155.2
Both,All Sites,Hawaii,2010,170
Both,All Sites,Idaho,2010,146.8
Both,All Sites,Illinois,2010,159.2
Both,All Sites,Indiana,2010,160.6
Both,All Sites,Iowa,2010,163.9
Both,All Sites,Kansas,2010,166
Both,All Sites,Kentucky,2010,187.8
Both,All Sites,Louisiana,2010,170
Both,All Sites,Massachusetts,2010,170.7
Both,All Sites,Maryland,2010,160
Both,All Sites,Maine,2010,172.8
Both,All Sites,Michigan,2010,170.2
Both,All Sites,Minnesota,2010,162
Both,All Sites,Missouri,2010,160.2
Both,All Sites,Mississippi,2010,165.6
Both,All Sites,Montana,2010,169
Both,All Sites,North Carolina,2010,169.8
Both,All Sites,North Dakota,2010,147.2
Both,All Sites,Nebraska,2010,151.4
Both,All Sites,New Hampshire,2010,163.7
Both,All Sites,New Jersey,2010,167.5
Both,All Sites,New Mexico,2010,144.2
Both,All Sites,Nevada,2010,133.7
Both,All Sites,New York,2010,175.4
Both,All Sites,Ohio,2010,161.1
Both,All Sites,Oklahoma,2010,152.9
Both,All Sites,Oregon,2010,154.4
Both,All Sites,Pennsylvania,2010,180.4
Both,All Sites,Rhode Island,2010,177
Both,All Sites,South Carolina,2010,166.3
Both,All Sites,South Dakota,2010,160.5
Both,All Sites,Tennessee,2010,170.1
Both,All Sites,Texas,2010,144.9
